,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
274,inhambane,2,MZ,1579796426,63,78.93,-23.86,35.38,13.4
275,fairbanks,90,US,1579796234,69,-8.0,64.84,-147.72,0.94
276,richards bay,9,ZA,1579796426,76,77.25,-28.78,32.04,16.51
277,saint-pierre,90,RE,1579796426,83,82.4,-21.34,55.48,9.17
278,nouadhibou,62,MR,1579796220,46,73.4,20.93,-17.03,11.41
279,torbay,40,CA,1579796247,73,21.99,47.67,-52.73,16.11
280,skeldon,55,GY,1579796427,75,78.93,5.88,-57.13,12.28
281,edd,93,ER,1579796427,69,74.14,13.93,41.69,14.32
282,ambilobe,100,MG,1579796209,90,77.54,-13.2,49.05,17.4
283,awjilah,0,LY,1579796427,45,60.64,29.11,21.29,8.9
284,broken hill,0,AU,1579796427,32,66.2,-31.95,141.43,18.34
285,qaqortoq,75,GL,1579796428,44,17.6,60.72,-46.03,13.87
286,saskylakh,0,RU,1579796394,92,-36.09,71.92,114.08,10.83
287,pisco,75,PE,1579796428,30,81.0,-13.7,-76.22,9.17
288,eston,40,CA,1579796428,92,14.0,51.15,-108.75,5.82
289,klaksvik,100,FO,1579796428,64,37.4,62.23,-6.59,23.04
290,saint anthony,90,US,1579796385,92,32.0,45.02,-93.22,5.82
291,durban,75,ZA,1579796178,78,73.99,-29.86,31.03,6.93
292,cururupu,37,BR,1579796429,54,90.25,-1.83,-44.87,6.98
293,lompoc,1,US,1579796429,93,57.99,34.64,-120.46,5.82
294,batagay-alyta,8,RU,1579796429,80,-34.47,67.8,130.41,2.46
295,rocha,0,UY,1579796429,36,84.13,-34.48,-54.33,9.26
296,kloulklubed,75,PW,1579796400,88,78.8,7.04,134.26,8.05
297,anuradhapura,17,LK,1579796429,90,74.44,8.36,80.42,6.58
298,auki,28,SB,1579796429,69,84.2,-8.77,160.7,10.78
299,tongren,98,CN,1579796430,95,41.58,27.72,109.19,5.39
300,petatlan,40,MX,1579796430,66,84.2,17.52,-101.27,6.2
301,ilhabela,100,BR,1579796430,82,73.67,-23.78,-45.36,8.99
302,antalaha,100,MG,1579796430,82,78.31,-14.9,50.28,8.86
303,kargopol,100,RU,1579796430,84,18.43,61.51,38.95,11.74
304,boyolangu,100,ID,1579796430,90,76.33,-8.12,111.89,0.81
305,ust-ordynskiy,100,RU,1579796430,70,1.4,52.8,104.75,11.18
306,sarakhs,90,IR,1579796431,71,51.8,36.54,61.16,6.93
307,tautira,0,PF,1579796219,78,78.8,-17.73,-149.15,2.24
308,ratnagiri,0,IN,1579796431,56,71.98,16.98,73.3,3.09
309,college,90,US,1579796184,69,-8.0,64.86,-147.8,1.39
310,lata,40,PT,1579796431,76,55.99,40.16,-8.33,5.82
311,yelizovo,0,RU,1579796431,64,-4.0,53.19,158.38,4.47
312,taksimo,100,RU,1579796402,92,-17.0,56.34,114.88,1.95
313,fuerte olimpo,96,PY,1579796432,68,82.81,-21.04,-57.87,10.6
314,dingle,7,PH,1579796432,87,73.35,11.0,122.67,11.03
315,vila,20,PT,1579796432,62,60.01,42.03,-8.16,1.12
316,rosarito,20,MX,1579796432,76,55.99,32.33,-117.03,4.7
317,marzuq,0,YE,1579796218,56,67.86,14.4,46.47,9.93
318,albanel,90,CA,1579796185,69,33.8,48.88,-72.45,12.75
319,xining,100,CN,1579796433,89,19.09,36.62,101.77,5.14
320,helong,0,CN,1579796433,92,2.01,42.54,129.0,4.12
321,tengushevo,100,RU,1579796433,86,20.48,54.77,42.72,8.66
322,shcheglovo,73,RU,1579796433,67,32.0,60.03,30.75,8.95
323,tineo,20,ES,1579796433,87,54.0,43.34,-6.41,5.82
324,grand gaube,75,MU,1579796433,74,84.2,-20.01,57.66,3.36
325,saurimo,75,AO,1579796433,94,71.6,-9.66,20.39,5.61
